GTGTTCTATTTTT
         5565 function calls (5470 primitive calls) in 0.014 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 enum.py:1627(_simple_enum)
        1    0.000    0.000    0.000    0.000 enum.py:168(_auto_null)
        1    0.000    0.000    0.000    0.000 enum.py:1251(ReprEnum)
        4    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        9    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 enum.py:1789(EnumCheck)
        1    0.000    0.000    0.000    0.000 enum.py:1257(IntEnum)
        1    0.000    0.000    0.000    0.000 _constants.py:23(error)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        4    0.000    0.000    0.000    0.000 enum.py:177(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:1538(IntFlag)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 enum.py:339(_EnumDict)
        1    0.000    0.000    0.000    0.000 enum.py:806(__members__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        1    0.000    0.000    0.000    0.000 enum.py:1800(verify)
        1    0.000    0.000    0.000    0.000 enum.py:183(property)
        1    0.000    0.000    0.000    0.000 enum.py:173(auto)
        1    0.000    0.000    0.000    0.000 enum.py:652(<listcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:23(nonmember)
        4    0.000    0.000    0.000    0.000 enum.py:234(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:229(_proto_member)
        3    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 enum.py:30(member)
        1    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:797(is_package)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}


